Day,Month,Year,Hour,Minute,Second,AMPM,Red,IR,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,GSR
17,January,2025,10,04,00,AM,701,848,3760,-1332,16512,195,766,86,2535
17,January,2025,10,04,01,AM,681,872,3736,-1384,16444,204,745,79,2543
17,January,2025,10,04,02,AM,657,813,3748,-1344,16492,221,755,104,2544
17,January,2025,10,04,03,AM,671,842,3696,-1332,16504,234,739,90,2541
17,January,2025,10,04,04,AM,694,839,3720,-1324,16428,205,765,58,2550
17,January,2025,10,04,05,AM,662,869,3768,-1332,16476,194,757,85,2543
17,January,2025,10,04,07,AM,677,879,3656,-1320,16488,202,741,97,2549
17,January,2025,10,04,08,AM,653,813,3716,-1368,16424,216,774,90,2544
17,January,2025,10,04,09,AM,683,824,3748,-1396,16484,187,758,93,2543
17,January,2025,10,04,10,AM,660,840,3748,-1336,16500,211,762,110,2544
17,January,2025,10,04,11,AM,684,831,3716,-1304,16532,204,740,97,2559
17,January,2025,10,04,12,AM,686,853,3660,-1340,16424,212,744,80,2546
17,January,2025,10,04,13,AM,665,844,3692,-1388,16428,229,782,86,2554
17,January,2025,10,04,14,AM,645,826,3744,-1340,16468,206,749,89,2552
17,January,2025,10,04,15,AM,647,853,3716,-1308,16516,221,750,74,2544
17,January,2025,10,04,16,AM,684,821,3728,-1368,16344,232,769,99,2546
17,January,2025,10,04,17,AM,657,850,3748,-1320,16372,194,757,86,2559
17,January,2025,10,04,18,AM,667,828,3676,-1372,16464,226,756,112,2559
17,January,2025,10,04,19,AM,677,851,3712,-1352,16428,190,753,84,2559
17,January,2025,10,04,20,AM,660,841,3716,-1376,16488,209,771,82,2550
17,January,2025,10,04,21,AM,678,832,3692,-1348,16488,199,755,103,2543
17,January,2025,10,04,22,AM,668,823,3736,-1340,16448,219,746,94,2545
17,January,2025,10,04,24,AM,680,844,3788,-1400,16436,196,770,103,2548
17,January,2025,10,04,25,AM,681,829,3676,-1320,16508,219,744,86,2559
17,January,2025,10,04,26,AM,673,853,3616,-1340,16464,192,793,89,2559
17,January,2025,10,04,27,AM,663,827,3752,-1356,16424,225,760,89,2544
17,January,2025,10,04,28,AM,664,833,3764,-1348,16436,206,755,74,2543
17,January,2025,10,04,29,AM,679,839,3700,-1380,16492,213,773,59,2542
17,January,2025,10,04,30,AM,679,832,3696,-1388,16416,207,752,94,2553
17,January,2025,10,04,31,AM,686,883,3720,-1360,16480,197,763,84,2546
17,January,2025,10,04,32,AM,671,891,3736,-1292,16428,200,765,101,2543
17,January,2025,10,04,33,AM,670,824,3740,-1388,16480,216,754,87,2554
17,January,2025,10,04,34,AM,689,819,3756,-1284,16416,198,773,90,2538
17,January,2025,10,04,35,AM,666,865,3652,-1436,16428,196,734,101,2559
17,January,2025,10,04,36,AM,687,813,3752,-1412,16504,224,758,79,2549
17,January,2025,10,04,37,AM,674,898,3736,-1352,16516,214,755,98,2544
17,January,2025,10,04,38,AM,675,841,3708,-1272,16468,219,765,96,2546
17,January,2025,10,04,39,AM,666,852,3716,-1340,16420,204,743,86,2547
17,January,2025,10,04,41,AM,661,807,3716,-1260,16520,210,755,91,2550
17,January,2025,10,04,42,AM,667,840,3672,-1332,16528,213,760,93,2549
17,January,2025,10,04,43,AM,676,826,3728,-1280,16468,204,751,91,2546
17,January,2025,10,04,44,AM,674,859,3680,-1396,16580,202,732,89,2544
17,January,2025,10,04,45,AM,686,881,3720,-1356,16336,211,766,99,2553
17,January,2025,10,04,46,AM,679,843,3728,-1340,16448,210,752,92,2542
17,January,2025,10,04,47,AM,673,824,3716,-1360,16432,214,758,91,2553
17,January,2025,10,04,48,AM,653,841,3692,-1308,16464,212,761,90,2545
17,January,2025,10,04,49,AM,672,846,3788,-1348,16460,216,761,96,2543
17,January,2025,10,04,50,AM,679,826,3736,-1332,16508,219,771,92,2544
17,January,2025,10,04,51,AM,666,858,3684,-1344,16444,210,752,80,2559
17,January,2025,10,04,52,AM,696,842,3668,-1364,16464,207,761,91,2538
17,January,2025,10,04,53,AM,670,887,3668,-1384,16408,215,792,87,2546
17,January,2025,10,04,54,AM,659,882,3720,-1384,16496,218,766,89,2543
17,January,2025,10,04,55,AM,657,838,3720,-1340,16504,226,758,92,2543
17,January,2025,10,04,56,AM,693,805,3716,-1312,16492,224,770,90,2546
17,January,2025,10,04,57,AM,704,841,3708,-1408,16512,185,744,90,2544
17,January,2025,10,04,59,AM,670,837,3716,-1352,16508,220,764,105,2559
17,January,2025,10,05,00,AM,679,842,3648,-1384,16492,227,740,106,2559
17,January,2025,10,05,01,AM,685,878,3752,-1372,16448,204,774,91,2554
17,January,2025,10,05,02,AM,656,847,3656,-1384,16516,221,786,80,2547
17,January,2025,10,05,03,AM,670,842,3708,-1308,16484,206,754,80,2546
17,January,2025,10,05,04,AM,674,872,3724,-1332,16484,208,755,86,2545
17,January,2025,10,05,05,AM,659,828,3760,-1360,16468,211,753,101,2549
17,January,2025,10,05,06,AM,686,842,3756,-1400,16460,198,780,98,2538
17,January,2025,10,05,07,AM,677,824,3676,-1324,16472,209,741,98,2549
17,January,2025,10,05,08,AM,680,844,3684,-1372,16456,205,762,82,2553
17,January,2025,10,05,09,AM,655,824,3756,-1416,16476,186,746,85,2544
17,January,2025,10,05,10,AM,656,827,3712,-1320,16480,212,748,87,2550
17,January,2025,10,05,11,AM,692,814,3708,-1320,16436,203,765,100,2545
17,January,2025,10,05,12,AM,674,836,3736,-1320,16448,210,764,129,2543
17,January,2025,10,05,14,AM,675,839,3712,-1360,16504,214,764,123,2559
17,January,2025,10,05,15,AM,693,846,3728,-1348,16468,227,765,92,2544
17,January,2025,10,05,16,AM,678,834,3704,-1376,16496,195,741,87,2551
17,January,2025,10,05,17,AM,671,834,3736,-1332,16488,225,762,80,2542
17,January,2025,10,05,18,AM,672,812,3716,-1372,16488,193,755,83,2544
17,January,2025,10,05,19,AM,682,837,3752,-1388,16528,189,770,88,2547
17,January,2025,10,05,20,AM,696,816,3760,-1280,16428,219,743,86,2551
17,January,2025,10,05,21,AM,655,816,3620,-1292,16432,182,777,93,2547
17,January,2025,10,05,22,AM,671,847,3724,-1348,16488,207,758,106,2559
17,January,2025,10,05,23,AM,692,812,3712,-1320,16476,207,745,85,2546
17,January,2025,10,05,24,AM,662,819,3732,-1352,16444,213,778,91,2545
17,January,2025,10,05,25,AM,638,826,3772,-1308,16560,224,771,89,2544
